Currency,1-Oct-20,2-Oct-20,5-Oct-20,6-Oct-20,7-Oct-20,8-Oct-20,9-Oct-20,13-Oct-20,14-Oct-20,15-Oct-20,16-Oct-20,19-Oct-20,20-Oct-20,21-Oct-20,22-Oct-20,23-Oct-20,26-Oct-20,27-Oct-20,28-Oct-20,29-Oct-20,30-Oct-20,2-Nov-20,3-Nov-20,4-Nov-20,5-Nov-20,6-Nov-20,9-Nov-20,10-Nov-20,11-Nov-20,12-Nov-20,13-Nov-20,16-Nov-20,17-Nov-20,18-Nov-20,19-Nov-20,20-Nov-20,23-Nov-20,24-Nov-20,25-Nov-20,30-Nov-20
Chinese yuan,NA,NA,NA,NA,NA,NA,0.105269,0.104715,0.10511,0.105314,0.105731,0.105483,0.105671,0.105847,0.105744,0.10558,0.105364,0.105114,0.105418,0.105613,0.105758,0.105912,0.105759,0.10535,0.106079,0.106013,0.106836,0.106486,0.106719,0.106267,0.106449,0.106948,0.10687,0.107206,0.106826,0.106719,0.106589,0.106709,0.106658,0.106194
Euro,0.833165,0.831867,0.833478,0.834782,0.83405,0.833506,0.833807,0.833196,0.832332,0.828754,0.831887,0.833075,0.834118,0.834531,0.833247,0.835162,0.833953,0.834619,0.829827,0.828901,0.828682,0.826545,0.828258,0.829275,0.835072,0.833383,0.833954,0.831538,0.829696,0.830886,0.832151,0.832197,0.833616,0.832482,0.831312,0.832185,0.833603,0.832906,0.834226,0.837707
Japanese yen,0.00671742,0.00671826,0.00670826,0.00669893,0.00670728,0.0066836,0.00667154,0.00670852,0.00671885,0.00673183,0.0067319,0.00670741,0.00669017,0.00669131,0.00673437,0.00672671,0.00672773,0.00673147,0.00678969,0.00678437,0.00677372,0.00677257,NA,0.00674463,0.00675494,0.00677107,0.00679187,0.00670044,0.00670691,0.00669337,0.0067129,0.00672013,0.00671496,0.00674018,0.00676614,0.0067536,NA,0.00671371,0.00671407,0.00673202
U.K. pound,0.910051,0.915621,0.917017,0.915429,0.91168,0.913951,0.914431,0.923005,0.917372,0.917843,0.913227,0.918644,0.914987,0.920224,0.923508,0.92103,0.921166,0.920606,0.916581,0.916578,0.919781,0.91557,0.919316,0.921322,0.920833,0.921882,0.924206,0.934072,0.935647,0.927251,0.927445,0.928888,0.93103,0.931422,0.931361,0.931446,0.936534,0.936274,0.935154,0.93389
U.S. dollar,0.708956,0.709179,0.708258,0.707742,0.708624,0.708462,0.706916,0.706877,0.708368,0.708458,0.708532,0.706894,0.706281,0.704127,0.704887,0.704421,0.705604,0.705391,0.707621,0.70822,0.708396,0.709359,0.707792,0.707512,0.704405,0.702092,0.701804,0.704216,0.705164,0.704678,0.704317,0.703463,0.701579,0.701451,0.702596,0.701496,0.700448,0.701986,0.70162,0.699255
Algerian dinar,0.00549124,0.00549198,0.0054851,0.00549196,0.00549534,0.00549334,0.00548778,0.00548698,0.00548841,0.00549109,0.00548672,0.00547576,0.00547816,0.00547649,0.00548662,0.00547754,0.005486,0.00548261,0.00549226,NA,0.00547877,0.00547688,0.00547631,0.0054685,0.00546115,0.00546264,0.0054688,0.00547496,0.0054806,0.00546966,0.00547303,NA,0.00545938,0.00546481,0.00546729,0.00546269,0.00545527,0.00546378,0.00547083,0.00541501
Australian dollar,0.509598,0.506283,NA,0.508937,0.504824,0.506196,0.507495,0.507891,0.5079,0.505556,0.501074,0.500905,0.497434,0.498592,0.499976,0.501055,0.502108,0.503226,0.505595,0.500145,0.498994,0.496551,0.497578,0.502687,0.504777,0.509859,0.511755,0.51281,0.515404,0.512301,0.509221,0.512825,0.513696,0.511709,0.512544,0.511741,0.512238,0.513643,0.516112,0.516959
Botswana pula,NA,0.0615567,0.0618309,0.0616443,0.0615086,0.061707,0.0616431,0.0617104,0.0617697,0.0616358,0.0614297,0.0615705,0.0615171,0.0616815,0.0618891,0.0618482,0.0620226,0.0620039,0.0622706,0.0620401,0.0617721,0.0621398,0.0620026,0.0620488,0.0623398,0.0626266,0.063022,0.0632386,0.0630417,0.0627868,0.0628955,0.0632413,0.0632824,0.0632709,0.0630229,0.0632048,0.0631804,0.0633191,0.0635668,0.0633525
Brazilian real,0.125623,0.125612,0.125816,0.128216,0.126513,0.126074,0.127632,0.126558,0.127246,0.126136,0.126028,0.126193,0.126519,0.125737,0.126292,0.125534,0.12528,0.124883,0.123453,0.122536,0.122747,NA,0.124416,0.124286,0.126651,0.126945,0.13288,0.131163,0.130552,0.130284,0.128413,0.129809,0.130014,0.132534,0.13176,0.131123,0.130142,0.129923,0.131139,0.131165
Brunei dollar,0.519991,0.519241,0.519822,0.520705,0.52032,0.521235,0.521132,0.52003,0.521242,0.521807,0.52052,0.520656,0.520396,0.519421,0.519675,0.518376,0.519055,0.518822,0.520501,NA,0.519466,0.518841,0.518909,0.517565,0.518746,0.519953,0.522176,0.523114,0.523857,0.522371,0.521678,0.522749,0.521775,0.522418,0.522921,0.522141,0.521866,0.522389,0.522895,0.522886
Canadian dollar,0.53337,0.532817,0.533769,0.533259,0.533803,0.535902,0.538152,0.538245,0.539134,0.535494,0.537092,0.536949,0.537586,0.5366,0.536362,0.536089,0.534508,0.535849,0.531966,0.530542,0.531909,0.535083,0.53845,0.538523,0.539733,0.538455,0.541098,0.540997,NA,0.536979,0.535724,0.53761,0.535802,0.536975,NA,NA,0.535429,0.538622,0.539583,0.539341
Chilean peso,0.000899519,0.000903367,0.000895611,0.000890981,0.000888724,0.000891091,0.000886693,0.000887981,0.000888058,0.000887169,0.000883556,0.000888415,0.000895989,0.000895084,0.00089901,0.000901474,0.000907273,0.000904846,0.000916548,0.000913172,0.000919457,0.000918954,0.000920202,0.000932741,0.000930325,0.000933621,0.000924338,0.000934283,0.00092675,0.000930366,0.000929877,0.000917521,0.000913681,0.000914479,0.000926785,0.0009247,0.000919766,0.000916479,0.000907858,0.000912044
Colombian peso,0.000183407,0.00018457,0.000182456,0.000184128,0.000185175,0.000184602,0.000184106,0.000184841,0.00018369,0.000184322,0.000183821,0.000183777,0.000183795,0.000183807,0.000186256,0.000186516,0.000186536,0.000185005,0.000185716,0.000184362,0.000184021,NA,0.000183434,0.000185045,0.000185023,0.000186537,0.000187739,0.00019314,0.000193169,0.000193036,0.000193164,NA,0.000192744,0.000192961,0.000192612,0.000192344,0.000191909,0.000193229,0.000192581,0.000193622
Czech koruna,0.0309655,0.0307763,0.0307631,0.0308828,0.0308151,0.0307639,0.0307582,0.0304531,0.0304753,0.0303084,0.0304981,0.0304643,0.0306227,0.0306983,0.0306007,0.030679,0.0305575,0.0305245,NA,0.0302904,0.0304085,0.0304655,0.0307682,0.0309647,0.031196,0.0312541,0.0315134,0.0314537,0.0313741,0.0314014,0.0314399,0.0315794,NA,0.0315287,0.0315362,0.0315975,0.031693,0.0317239,0.0318715,0.0319864
Danish krone,0.111953,0.111789,0.112027,0.11219,0.112073,0.111996,0.112038,0.11194,0.111815,0.111349,0.111782,0.111957,0.112074,0.11212,0.111983,0.112242,0.112072,0.112172,0.111484,0.111319,0.111283,0.111013,0.111232,0.111363,0.11214,0.111875,0.111977,0.111699,0.111471,0.11159,0.111747,0.111734,0.111925,0.111719,0.111589,0.111719,0.111936,0.111913,0.112098,0.112576
Indian rupee,0.00966099,NA,0.0096672,0.00964641,0.0096595,0.00966599,0.00965596,0.00963323,0.00964346,0.00966945,0.00965526,0.00962823,0.00963106,0.00958588,0.00957003,0.0095738,0.0095697,0.00956479,0.00959291,0.00957401,NA,0.0095444,0.0095228,0.00947246,0.00948468,0.00948088,0.00949336,0.0094893,0.00949679,0.00946512,0.00943223,NA,0.00941607,0.00943281,0.00946187,0.00945925,0.00944752,0.00948948,0.0094844,NA
Israeli New Shekel,0.206874,0.206697,0.206972,0.207488,0.207991,0.20874,0.209085,0.208765,0.209329,0.208738,0.209439,0.209264,0.209021,0.208014,0.208546,0.208532,0.208697,0.208572,0.208553,0.207689,0.207012,0.208635,0.207199,0.207482,0.208342,0.207904,0.208808,0.208595,NA,0.20867,0.209493,0.209614,0.209052,0.20989,0.209668,0.209778,0.209778,0.210113,0.211014,0.211383
Korean won,NA,NA,0.000605608,0.000608339,0.000610883,0.00060943,NA,0.000615586,0.00061624,0.000618363,0.000619021,0.000617051,0.000618351,0.000617818,0.000621758,0.000621128,0.000621897,0.000624737,0.000627546,0.000627132,0.000625019,0.000627529,0.00062377,0.000623578,0.000619802,0.000620826,0.000624159,0.000631244,0.000631924,0.000633475,0.000632696,0.000630852,0.000633194,0.000633765,0.000635316,0.000630728,0.000628656,0.000630942,0.000631407,0.000633154
Kuwaiti dinar,NA,NA,2.31419,2.31402,2.31539,2.31486,NA,2.31232,2.31531,2.3156,NA,2.30973,2.30924,2.3037,2.30694,NA,2.30929,2.30784,NA,NA,NA,2.31703,2.31191,2.311,2.30311,NA,2.29874,2.30437,2.30747,2.30438,NA,2.30304,2.29687,2.2972,2.30095,NA,2.29467,2.29858,2.29889,2.29226
Malaysian ringgit,0.170915,0.170455,0.170275,0.17054,0.170363,0.170488,0.170444,0.170127,0.170856,0.170795,0.170546,0.170459,0.170373,0.169874,0.169873,0.169883,0.169433,0.169362,0.169917,NA,0.17041,0.170724,0.170204,0.169932,0.169634,0.169465,0.170568,0.171113,0.171032,0.170459,0.170475,0.170972,0.170875,0.171169,0.171574,0.171494,0.17128,0.171446,0.171671,0.171849
Mauritian rupee,0.0177082,0.0177077,0.0176954,0.017682,0.0177238,0.0177273,0.0176612,0.0176631,0.0177061,0.017736,0.0177151,0.0176609,0.0176184,0.0175783,0.0176056,0.0176019,0.0176252,0.0176291,0.017657,0.0176527,0.0176512,NA,0.0176065,0.0176232,0.0175332,0.0174771,0.0174692,0.0175385,NA,0.0175458,0.017555,0.0175399,0.0175036,0.0175009,0.0175602,0.0175074,0.0174955,NA,0.0175217,0.0174538
Mexican peso,0.0322896,0.0326773,0.0331024,0.0329939,0.03297,0.0330566,0.0333731,0.0330816,0.033257,0.0331315,0.0334584,0.0334479,0.0334886,0.033428,0.0335182,0.0336713,0.0336293,0.0337834,0.0334339,0.03313,0.033335,NA,0.0334566,0.0336358,0.0339289,0.0340491,0.0344697,0.0345173,0.0342692,0.0343238,0.0343849,NA,0.0345245,0.0346587,0.0348064,0.0348705,0.0348461,0.0349983,0.0349996,0.0347201
New Zealand dollar,0.469258,0.470824,0.470708,0.470932,0.466416,0.464113,0.466282,0.469013,0.471844,0.471408,0.467348,0.468459,0.465651,0.464301,0.468397,0.46999,NA,0.471413,0.473965,0.470895,0.469312,0.467751,0.469337,0.472901,0.47174,0.475035,0.476876,0.480627,0.481556,0.486016,0.48133,0.483631,0.484861,0.482879,0.485072,0.484944,0.487162,0.487319,0.48938,0.492345
Norwegian krone,0.0763862,0.0762903,0.0765676,0.0768658,0.0762995,0.0764417,0.0767619,0.0772028,0.0769129,0.0755624,0.0759225,0.0761009,0.0760374,0.0763422,0.0762172,0.0764952,0.0761843,0.076996,0.0756498,0.0743444,0.0746962,0.0743781,0.0752258,0.0756754,0.0769648,0.0763152,0.0778657,0.0779923,0.0777066,0.0771785,0.0769636,0.0775508,0.0774139,0.0777188,0.0777655,0.0780567,0.0779774,0.0780106,0.0790825,0.0793211
Omani rial,NA,NA,NA,1.84068,1.84298,NA,NA,1.83843,1.84231,1.84254,NA,1.83848,1.83688,1.83128,1.83326,NA,1.83512,1.83457,1.84037,NA,1.84238,1.84489,1.84081,1.84008,1.832,NA,NA,NA,1.83398,1.83271,1.83177,NA,1.82465,1.82432,1.8273,1.82444,1.82171,1.82571,1.82476,1.81861
Peruvian sol,0.196823,0.196123,0.196193,0.197638,0.198106,NA,0.198016,0.196792,NA,NA,NA,0.197126,0.197065,0.195863,0.195748,0.195618,NA,0.195724,0.196017,0.196183,0.196232,0.197044,0.1965,0.19675,0.196268,0.195242,0.195816,0.194589,NA,0.194126,0.193494,0.192519,0.193432,0.1961,NA,NA,0.194785,0.19478,0.19457,0.194076
Philippine peso,0.0146412,0.0146349,0.0146144,0.0146143,0.014648,0.0146243,0.0146126,0.0146109,0.0145887,0.0145704,NA,0.0145517,0.0145391,0.0144915,0.0145068,0.0144972,0.0145225,0.0145772,0.0146094,0.014642,0.014636,NA,0.014625,0.0146244,0.0145562,0.014521,0.0145802,NA,0.0146187,NA,0.0145849,0.0145638,0.0145649,0.0145409,0.014557,0.01453,0.0145171,0.0145664,0.0145634,NA
Polish zloty,0.184082,0.184846,0.185156,0.18537,0.185864,0.185583,0.186457,0.186354,0.184948,0.182104,0.181787,0.182372,0.181442,0.181917,0.181981,0.182186,0.182049,0.181521,0.179997,0.179274,0.179055,0.179326,0.181165,0.181432,0.183664,0.183823,0.185726,0.184504,NA,0.185466,0.185273,0.18619,0.185226,0.186452,0.185519,0.186187,0.18621,0.186574,0.18682,0.187147
Qatari riyal,0.194768,NA,0.194576,0.194435,0.194677,0.194632,NA,0.194197,0.194607,0.194631,NA,0.194202,0.194033,0.193441,0.19365,NA,0.193847,0.193789,0.194401,0.194566,NA,0.194879,0.194448,0.194371,0.193518,NA,0.192803,0.193466,0.193726,0.193593,NA,0.193259,0.192741,0.192706,0.193021,NA,0.192431,0.192853,0.192753,0.192103
Russian ruble,0.00917417,0.00908139,0.00906534,0.00901446,0.00907421,0.00909267,0.00917734,0.00914631,0.00916674,0.00908908,0.00908789,0.00907157,0.00908073,0.00914068,0.00914477,0.00921213,0.0092303,0.00922615,0.00912447,0.0089796,0.00892948,0.00880372,0.00884733,NA,0.00897836,0.00909593,0.00912008,0.00921775,0.00925321,0.00913804,0.00910839,0.00914542,0.00920067,0.00923852,0.00921284,0.00922875,0.00924562,0.00925925,0.00929634,0.00917659
Saudi Arabian riyal,0.189055,NA,0.188869,0.188731,0.188966,0.188923,NA,0.188501,0.188898,0.188922,NA,NA,0.188342,0.187767,0.18797,NA,0.188161,0.188104,0.188699,0.188859,NA,0.189162,0.188745,0.18867,0.187841,NA,0.187148,0.187791,0.188044,0.187914,NA,0.18759,0.187088,0.187054,0.187359,NA,0.186786,0.187196,0.187099,0.186468
Singapore dollar,0.519991,0.519241,0.519822,0.520705,0.52032,0.521235,0.521132,0.52003,0.521242,0.521807,0.52052,0.520656,0.520396,0.519421,0.519675,0.518376,0.519055,0.518822,0.520501,0.519528,0.519466,0.518841,0.518909,0.517565,0.518746,0.519953,0.522176,0.523114,0.523857,0.522371,0.521678,0.522749,0.521775,0.522418,0.522921,0.522141,0.521866,0.522389,0.522895,0.522886
South African rand,0.0426879,0.0428003,0.0431746,0.0428879,0.0425852,0.0426873,0.0428742,0.0429182,0.0428498,0.0424656,0.0429061,0.0429916,0.0427015,0.0428641,0.0431645,0.0435087,0.0434124,0.0437566,0.0430422,0.0430804,0.0435692,0.0436042,0.0440966,0.0442141,0.0445841,0.0445853,0.045758,0.0454386,0.0450066,0.0450507,0.0450495,0.045764,0.0455603,0.0455815,0.0453434,0.0456608,0.0458299,0.0456133,0.0460337,0.0457726
Swedish krona,0.0793051,0.0794794,0.0794697,0.0795484,0.0792502,0.079896,0.079873,0.0801566,0.0801866,0.0783736,0.079967,0.0800197,0.0799078,0.0807059,0.0806858,0.0803684,0.0803961,0.080582,0.0806525,0.0799264,0.0794772,0.0794355,0.079709,0.079752,0.0804565,0.0806863,0.0813676,0.0816937,0.0816682,0.08161,0.0814644,0.0813817,0.081453,0.0816818,0.0813378,0.0815371,0.0814654,0.0817223,0.0823044,0.0824467
Swiss franc,0.772157,0.77001,0.772828,0.773446,0.772342,0.771661,0.774745,0.776063,0.774342,0.77533,0.77486,0.775869,0.778228,0.779203,0.776692,0.778796,0.778125,0.776862,0.776283,0.776089,0.772978,0.773312,0.773797,0.775611,0.776418,0.779929,0.779133,0.769047,0.767902,0.770435,0.769577,0.769737,0.770839,0.77036,0.770306,0.769691,0.771546,0.768921,0.768772,0.774197
Thai baht,0.0224438,0.0224317,0.0224787,0.0226499,0.0226311,0.022702,0.0227158,NA,0.0227136,0.0227274,0.0227086,0.0226452,0.0226039,0.0225472,0.0225412,NA,0.0225325,0.0225667,0.022702,0.0226696,0.0227137,0.0227658,0.022774,0.0227306,0.0227015,0.0228881,0.0230168,0.0231118,0.0233081,0.023279,0.0232847,0.0233197,0.023248,0.0231885,0.0231361,0.0231318,0.0231301,0.0230977,0.0231115,0.0230968
Trinidadian dollar,0.105374,0.105507,0.105527,0.105338,0.105434,0.105174,NA,0.104651,0.104701,0.104993,0.105122,0.105013,0.104754,0.104344,0.104332,0.104089,0.104196,0.104149,0.104406,0.104533,0.104565,0.105343,0.105347,0.104857,0.10495,0.1041,0.104127,0.104311,NA,0.104061,0.104141,0.103821,0.103478,0.103911,NA,NA,0.103956,0.104107,0.103951,0.103329
U.A.E. dirham,0.193045,NA,0.192854,0.192714,0.192954,0.19291,NA,0.192478,0.192884,0.192909,NA,0.192483,0.192316,0.19173,0.191937,NA,0.192132,0.192074,0.192681,0.192844,NA,0.193154,0.192728,0.192651,0.191805,NA,0.191097,0.191754,0.192012,0.19188,NA,0.191549,0.191036,0.191001,0.191313,NA,0.190728,0.191147,0.191047,0.190403
Uruguayan peso,0.0166684,0.0166642,0.0166669,0.0166567,0.0166688,0.0166481,0.0166075,0.016584,0.016605,0.0165508,0.016519,0.0165224,0.0165347,0.0164982,0.0165214,0.0165097,NA,0.0165251,0.016517,0.0164576,0.0164732,NA,0.0165272,0.0165067,0.0164808,0.0164228,0.0165018,0.016493,NA,0.0164483,0.0163943,0.0164188,0.0164127,0.0164394,NA,NA,0.0164132,0.0164708,0.0164572,0.0164449
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,